Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,71,4h,Good,4,4h,Good,19,15-11-2018 05:00,1542254701
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,5h,Good,10,NA,NA,NA,15-11-2018 06:00,1542258301
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,40,5h,Good,23,5h,Good,33,15-11-2018 06:00,1542258301
Barcelona - Gràcia,Good,2.1534,41.3987,5h,Good,47,5h,Good,10,NA,NA,NA,15-11-2018 06:00,1542258301
Barcelona - Ciutadella,Good,2.1874,41.3864,5h,Good,52,5h,Good,9,NA,NA,NA,15-11-2018 06:00,1542258301
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,47,5h,Good,10,5h,Good,27,15-11-2018 06:00,1542258301
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,45,5h,Good,6,5h,Good,25,15-11-2018 06:00,1542258301
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,5h,Good,9,5h,Good,27,15-11-2018 06:00,1542258301
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,71,5h,Good,4,5h,Good,18,15-11-2018 06:00,1542258301
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,6h,Good,7,NA,NA,NA,15-11-2018 07:00,1542261901
Barcelona - Eixample,Good,2.1538,41.3853,6h,Good,51,6h,Good,18,6h,Good,32,15-11-2018 07:00,1542261901
Barcelona - Gràcia,Good,2.1534,41.3987,6h,Good,61,6h,Good,9,NA,NA,NA,15-11-2018 07:00,1542261901
Barcelona - Ciutadella,Good,2.1874,41.3864,6h,Good,46,6h,Good,13,NA,NA,NA,15-11-2018 07:00,1542261901
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,66,6h,Good,9,6h,Good,26,15-11-2018 07:00,1542261901
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,57,6h,Good,3,6h,Good,24,15-11-2018 07:00,1542261901
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,6h,Good,13,6h,Good,27,15-11-2018 07:00,1542261901
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,85,6h,Good,2,6h,Good,17,15-11-2018 07:00,1542261901
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,7h,Good,14,NA,NA,NA,15-11-2018 08:00,1542265502
Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,26,7h,Good,41,7h,Good,31,15-11-2018 08:00,1542265502
Barcelona - Gràcia,Good,2.1534,41.3987,7h,Good,40,7h,Good,22,NA,NA,NA,15-11-2018 08:00,1542265502
Barcelona - Ciutadella,Good,2.1874,41.3864,7h,Good,31,7h,Good,24,NA,NA,NA,15-11-2018 08:00,1542265502
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,48,7h,Good,17,7h,Good,25,15-11-2018 08:00,1542265502
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,52,7h,Good,8,7h,Good,23,15-11-2018 08:00,1542265502
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,7h,Good,29,7h,Good,27,15-11-2018 08:00,1542265502
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,76,7h,Good,4,7h,Good,17,15-11-2018 08:00,1542265502
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,8h,Good,38,NA,NA,NA,15-11-2018 09:00,1542269102
Barcelona - Eixample,Good,2.1538,41.3853,8h,Good,4,8h,Good,76,8h,Good,31,15-11-2018 09:00,1542269102
Barcelona - Gràcia,Good,2.1534,41.3987,8h,Good,20,8h,Good,47,NA,NA,NA,15-11-2018 09:00,1542269102
Barcelona - Ciutadella,Good,2.1874,41.3864,8h,Good,19,8h,Good,44,NA,NA,NA,15-11-2018 09:00,1542269102
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,23,8h,Good,41,8h,Good,26,15-11-2018 09:00,1542269102
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,27,8h,Good,30,8h,Good,23,15-11-2018 09:00,1542269102
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,8h,Good,49,8h,Good,26,15-11-2018 09:00,1542269102
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,65,8h,Good,10,8h,Good,16,15-11-2018 09:00,1542269102
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,9h,Good,59,NA,NA,NA,15-11-2018 10:00,1542272702
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,4,9h,Good,88,9h,Good,30,15-11-2018 10:00,1542272702
Barcelona - Gràcia,Good,2.1534,41.3987,9h,Good,7,9h,Good,68,NA,NA,NA,15-11-2018 10:00,1542272702
Barcelona - Ciutadella,Good,2.1874,41.3864,9h,Good,18,9h,Good,48,NA,NA,NA,15-11-2018 10:00,1542272702
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,14,9h,Good,51,9h,Good,25,15-11-2018 10:00,1542272702
Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,12,9h,Good,54,9h,Good,23,15-11-2018 10:00,1542272702
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,9h,Good,45,9h,Good,25,15-11-2018 10:00,1542272702
Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,56,9h,Good,19,9h,Good,15,15-11-2018 10:00,1542272702
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,10h,Good,35,NA,NA,NA,15-11-2018 11:00,1542276302
Barcelona - Eixample,Good,2.1538,41.3853,10h,Good,18,10h,Good,74,10h,Good,30,15-11-2018 11:00,1542276302
Barcelona - Gràcia,Good,2.1534,41.3987,10h,Good,32,10h,Good,49,NA,NA,NA,15-11-2018 11:00,1542276302
Barcelona - Ciutadella,Good,2.1874,41.3864,10h,Good,47,10h,Good,21,NA,NA,NA,15-11-2018 11:00,1542276302
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,34,10h,Good,43,10h,Good,24,15-11-2018 11:00,1542276302
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,26,10h,Good,44,10h,Good,23,15-11-2018 11:00,1542276302
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,10h,Good,23,10h,Good,24,15-11-2018 11:00,1542276302
Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,65,10h,Good,17,10h,Good,14,15-11-2018 11:00,1542276302
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,11h,Good,34,NA,NA,NA,15-11-2018 12:00,1542279902
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,20,11h,Good,72,11h,Good,30,15-11-2018 12:00,1542279902
Barcelona - Gràcia,Good,2.1534,41.3987,11h,Good,45,11h,Good,35,NA,NA,NA,15-11-2018 12:00,1542279902
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,51,11h,Good,16,NA,NA,NA,15-11-2018 12:00,1542279902
