Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,71.0,6h,Good,8.0,6h,Good,16.0,17/11/2018 7:00,1542434702
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,43.0,7h,Good,25.0,7h,Good,19.0,17/11/2018 8:00,1542438302
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,50.0,7h,Good,11.0,8h,Good,19.0,17/11/2018 8:00,1542438302
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,71.0,7h,Good,9.0,7h,Good,16.0,17/11/2018 8:00,1542438302
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,51.0,8h,Good,18.0,8h,Good,20.0,17/11/2018 9:00,1542441901
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,53.0,8h,Good,10.0,8h,Good,19.0,17/11/2018 9:00,1542441901
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,73.0,8h,Good,5.0,8h,Good,17.0,17/11/2018 9:00,1542441901
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,47.0,9h,Good,21.0,9h,Good,20.0,17/11/2018 10:00,1542445502
Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,52.0,9h,Good,10.0,9h,Good,20.0,17/11/2018 10:00,1542445502
Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,72.0,9h,Good,5.0,9h,Good,17.0,17/11/2018 10:00,1542445502
Barcelona - Eixample,Good,2.1538,41.3853,10h,Good,12.0,10h,Good,58.0,10h,Good,30.0,17/11/2018 11:00,1542449101
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,39.0,10h,Good,24.0,10h,Good,21.0,17/11/2018 11:00,1542449101
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,48.0,10h,Good,12.0,10h,Good,20.0,17/11/2018 11:00,1542449101
Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,67.0,10h,Good,6.0,10h,Good,18.0,17/11/2018 11:00,1542449101
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,10.0,11h,Good,58.0,11h,Good,30.0,17/11/2018 12:00,1542452702
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,24.0,11h,Good,36.0,11h,Good,21.0,17/11/2018 12:00,1542452702
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,39.0,11h,Good,18.0,11h,Good,20.0,17/11/2018 12:00,1542452702
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,60.0,11h,Good,12.0,11h,Good,18.0,17/11/2018 12:00,1542452702
Barcelona - Eixample,Good,2.1538,41.3853,12h,Good,24.0,12h,Good,47.0,12h,Good,30.0,17/11/2018 13:00,1542456302
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,32.0,12h,Good,33.0,12h,Good,22.0,17/11/2018 13:00,1542456302
Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,35.0,12h,Good,22.0,12h,Good,20.0,17/11/2018 13:00,1542456302
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,59.0,12h,Good,14.0,12h,Good,18.0,17/11/2018 13:00,1542456302
Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,30.0,13h,Good,46.0,13h,Good,30.0,17/11/2018 14:00,1542459901
Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,38.0,13h,Good,27.0,13h,Good,22.0,17/11/2018 14:00,1542459901
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,40.0,13h,Good,20.0,13h,Good,21.0,17/11/2018 14:00,1542459901
Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,61.0,13h,Good,13.0,13h,Good,19.0,17/11/2018 14:00,1542459901
Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,30.0,13h,Good,46.0,14h,Good,30.0,17/11/2018 15:00,1542463502
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,39.0,14h,Good,30.0,14h,Good,22.0,17/11/2018 15:00,1542463502
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,53.0,14h,Good,13.0,14h,Good,21.0,17/11/2018 15:00,1542463502
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,58.0,14h,Good,17.0,14h,Good,19.0,17/11/2018 15:00,1542463502
Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,30.0,13h,Good,46.0,15h,Good,29.0,17/11/2018 16:00,1542467102
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,63.0,15h,Good,18.0,15h,Good,22.0,17/11/2018 16:00,1542467102
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,55.0,15h,Good,13.0,15h,Good,21.0,17/11/2018 16:00,1542467102
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,71.0,15h,Good,12.0,15h,Good,19.0,17/11/2018 16:00,1542467102
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,64.0,16h,Good,17.0,16h,Good,22.0,17/11/2018 17:00,1542470701
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,56.0,16h,Good,15.0,16h,Good,21.0,17/11/2018 17:00,1542470701
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,72.0,16h,Good,12.0,17h,Good,19.0,17/11/2018 17:00,1542470701
Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,66.0,17h,Good,16.0,17h,Good,22.0,17/11/2018 18:00,1542474302
Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,61.0,17h,Good,12.0,17h,Good,21.0,17/11/2018 18:00,1542474302
Barcelona - Observ Fabra,Good,2.1239,41.4183,17h,Good,77.0,17h,Good,10.0,17h,Good,19.0,17/11/2018 18:00,1542474302
Barcelona - Eixample,Good,2.1538,41.3853,18h,Good,40.0,18h,Good,49.0,19h,Good,29.0,17/11/2018 19:00,1542477901
Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,50.0,18h,Good,27.0,18h,Good,22.0,17/11/2018 19:00,1542477901
Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,57.0,18h,Good,14.0,18h,Good,21.0,17/11/2018 19:00,1542477901
Barcelona - Observ Fabra,Good,2.1239,41.4183,18h,Good,70.0,18h,Good,12.0,18h,Good,19.0,17/11/2018 19:00,1542477901
Barcelona - Eixample,Good,2.1538,41.3853,19h,Good,17.0,19h,Good,57.0,19h,Good,29.0,17/11/2018 20:00,1542481501
Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,41.0,19h,Good,26.0,19h,Good,22.0,17/11/2018 20:00,1542481501
Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,43.0,19h,Good,19.0,19h,Good,21.0,17/11/2018 20:00,1542481501
Barcelona - Observ Fabra,Good,2.1239,41.4183,19h,Good,62.0,19h,Good,11.0,19h,Good,19.0,17/11/2018 20:00,1542481501
Barcelona - Eixample,Good,2.1538,41.3853,20h,Good,16.0,20h,Good,60.0,20h,Good,29.0,17/11/2018 21:00,1542485102
Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,33.0,20h,Good,35.0,20h,Good,21.0,17/11/2018 21:00,1542485102
Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,43.0,20h,Good,18.0,20h,Good,21.0,17/11/2018 21:00,1542485102
Barcelona - Observ Fabra,Good,2.1239,41.4183,20h,Good,68.0,20h,Good,11.0,20h,Good,19.0,17/11/2018 21:00,1542485102
Barcelona - Eixample,Good,2.1538,41.3853,21h,Good,8.0,21h,Good,68.0,21h,Good,28.0,17/11/2018 22:00,1542488701
Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,42.0,21h,Good,24.0,22h,Good,20.0,17/11/2018 22:00,1542488701
Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,47.0,21h,Good,17.0,21h,Good,20.0,17/11/2018 22:00,1542488701
Barcelona - Observ Fabra,Good,2.1239,41.4183,21h,Good,69.0,21h,Good,8.0,21h,Good,18.0,17/11/2018 22:00,1542488701
Barcelona - Eixample,Good,2.1538,41.3853,22h,Good,10.0,22h,Good,66.0,22h,Good,28.0,17/11/2018 23:00,1542492302
Barcelona - Vall Hebron,Good,2.148,41.4261,22h,Good,44.0,22h,Good,24.0,22h,Good,20.0,17/11/2018 23:00,1542492302
Barcelona - Palau Reial,Good,2.1151,41.3875,22h,Good,48.0,22h,Good,15.0,22h,Good,20.0,17/11/2018 23:00,1542492302
Barcelona - Observ Fabra,Good,2.1239,41.4183,22h,Good,68.0,22h,Good,6.0,22h,Good,18.0,17/11/2018 23:00,1542492302
Barcelona - Eixample,Good,2.1538,41.3853,23h,Good,20.0,23h,Good,54.0,23h,Good,27.0,18/11/2018 0:00,1542495902
Barcelona - Vall Hebron,Good,2.148,41.4261,23h,Good,42.0,23h,Good,23.0,23h,Good,20.0,18/11/2018 0:00,1542495902
Barcelona - Palau Reial,Good,2.1151,41.3875,23h,Good,48.0,23h,Good,14.0,23h,Good,20.0,18/11/2018 0:00,1542495902
Barcelona - Observ Fabra,Good,2.1239,41.4183,23h,Good,68.0,23h,Good,9.0,23h,Good,18.0,18/11/2018 0:00,1542495902
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,34.0,0h,Good,35.0,0h,Good,26.0,18/11/2018 1:00,1542499501
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,44.0,0h,Good,21.0,0h,Good,19.0,18/11/2018 1:00,1542499501
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,44.0,0h,Good,16.0,0h,Good,19.0,18/11/2018 1:00,1542499501
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,66.0,0h,Good,9.0,0h,Good,17.0,18/11/2018 1:00,1542499501
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,24.0,1h,Good,46.0,1h,Good,25.0,18/11/2018 2:00,1542503102
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,47.0,1h,Good,19.0,1h,Good,19.0,18/11/2018 2:00,1542503102
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,47.0,1h,Good,13.0,1h,Good,18.0,18/11/2018 2:00,1542503102
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,71.0,1h,Good,7.0,1h,Good,17.0,18/11/2018 2:00,1542503102
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,38.0,2h,Good,36.0,2h,Good,25.0,18/11/2018 3:00,1542506702
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,51.0,2h,Good,18.0,2h,Good,18.0,18/11/2018 3:00,1542506702
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,49.0,2h,Good,13.0,2h,Good,18.0,18/11/2018 3:00,1542506702
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,70.0,2h,Good,7.0,2h,Good,16.0,18/11/2018 3:00,1542506702
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,37.0,3h,Good,34.0,3h,Good,24.0,18/11/2018 4:00,1542510302
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,54.0,3h,Good,12.0,3h,Good,18.0,18/11/2018 4:00,1542510302
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,53.0,3h,Good,9.0,4h,Good,18.0,18/11/2018 4:00,1542510302
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,73.0,3h,Good,6.0,3h,Good,16.0,18/11/2018 4:00,1542510302
Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,40.0,4h,Good,30.0,4h,Good,24.0,18/11/2018 5:00,1542513902
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,47.0,4h,Good,17.0,4h,Good,18.0,18/11/2018 5:00,1542513902
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,47.0,4h,Good,11.0,4h,Good,17.0,18/11/2018 5:00,1542513902
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,71.0,4h,Good,7.0,4h,Good,15.0,18/11/2018 5:00,1542513902
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,51.0,5h,Good,18.0,5h,Good,23.0,18/11/2018 6:00,1542517501
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,62.0,5h,Good,8.0,5h,Good,17.0,18/11/2018 6:00,1542517501
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,57.0,5h,Good,4.0,5h,Good,17.0,18/11/2018 6:00,1542517501
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,73.0,5h,Good,4.0,5h,Good,15.0,18/11/2018 6:00,1542517501
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,51.0,5h,Good,18.0,6h,Good,23.0,18/11/2018 7:00,1542521102
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,59.0,6h,Good,9.0,6h,Good,16.0,18/11/2018 7:00,1542521102
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,56.0,6h,Good,5.0,6h,Good,16.0,18/11/2018 7:00,1542521102
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,75.0,6h,Good,4.0,6h,Good,14.0,18/11/2018 7:00,1542521102
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,51.0,5h,Good,18.0,7h,Good,24.0,18/11/2018 8:00,1542524702
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,56.0,7h,Good,12.0,7h,Good,16.0,18/11/2018 8:00,1542524702
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,53.0,7h,Good,7.0,7h,Good,16.0,18/11/2018 8:00,1542524702
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,74.0,7h,Good,5.0,7h,Good,14.0,18/11/2018 8:00,1542524702
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,61.0,8h,Good,9.0,8h,Good,15.0,18/11/2018 9:00,1542528302
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,58.0,8h,Good,5.0,8h,Good,15.0,18/11/2018 9:00,1542528302
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,77.0,8h,Good,4.0,8h,Good,13.0,18/11/2018 9:00,1542528302
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,39.0,9h,Good,29.0,9h,Good,21.0,18/11/2018 10:00,1542531902
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,49.0,9h,Good,19.0,9h,Good,15.0,18/11/2018 10:00,1542531902
Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,55.0,9h,Good,8.0,9h,Good,14.0,18/11/2018 10:00,1542531902
Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,73.0,9h,Good,7.0,9h,Good,12.0,18/11/2018 10:00,1542531902
Barcelona - Eixample,Good,2.1538,41.3853,10h,Good,41.0,10h,Good,27.0,10h,Good,20.0,18/11/2018 11:00,1542535501
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,56.0,10h,Good,13.0,10h,Good,14.0,18/11/2018 11:00,1542535501
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,57.0,10h,Good,6.0,10h,Good,13.0,18/11/2018 11:00,1542535501
Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,75.0,10h,Good,3.0,10h,Good,11.0,18/11/2018 11:00,1542535501
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,37.0,11h,Good,32.0,11h,Good,18.0,18/11/2018 12:00,1542539102
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,51.0,11h,Good,18.0,11h,Good,13.0,18/11/2018 12:00,1542539102
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,54.0,11h,Good,8.0,11h,Good,13.0,18/11/2018 12:00,1542539102
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,71.0,11h,Good,7.0,11h,Good,11.0,18/11/2018 12:00,1542539102
Barcelona - Eixample,Good,2.1538,41.3853,12h,Good,55.0,12h,Good,22.0,12h,Good,17.0,18/11/2018 13:00,1542542702
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,52.0,12h,Good,22.0,12h,Good,12.0,18/11/2018 13:00,1542542702
Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,57.0,12h,Good,9.0,12h,Good,12.0,18/11/2018 13:00,1542542702
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,69.0,12h,Good,8.0,12h,Good,10.0,18/11/2018 13:00,1542542702
Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,46.0,13h,Good,33.0,13h,Good,17.0,18/11/2018 14:00,1542546301
Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,61.0,13h,Good,16.0,13h,Good,11.0,18/11/2018 14:00,1542546301
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,57.0,13h,Good,8.0,13h,Good,11.0,18/11/2018 14:00,1542546301
Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,70.0,13h,Good,9.0,13h,Good,10.0,18/11/2018 14:00,1542546301
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,43.0,14h,Good,36.0,15h,Good,15.0,18/11/2018 15:00,1542549902
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,59.0,14h,Good,19.0,14h,Good,10.0,18/11/2018 15:00,1542549902
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,57.0,14h,Good,10.0,14h,Good,11.0,18/11/2018 15:00,1542549902
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,72.0,14h,Good,9.0,14h,Good,9.0,18/11/2018 15:00,1542549902
Barcelona - Eixample,Good,2.1538,41.3853,15h,Good,45.0,15h,Good,37.0,15h,Good,15.0,18/11/2018 16:00,1542553502
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,60.0,15h,Good,18.0,15h,Good,10.0,18/11/2018 16:00,1542553502
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,55.0,15h,Good,12.0,15h,Good,10.0,18/11/2018 16:00,1542553502
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,70.0,15h,Good,9.0,15h,Good,8.0,18/11/2018 16:00,1542553502
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,52.0,16h,Good,30.0,16h,Good,15.0,18/11/2018 17:00,1542557102
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,69.0,16h,Good,12.0,16h,Good,9.0,18/11/2018 17:00,1542557102
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,59.0,16h,Good,10.0,16h,Good,9.0,18/11/2018 17:00,1542557102
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,77.0,16h,Good,8.0,16h,Good,8.0,18/11/2018 17:00,1542557102
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,48.0,17h,Good,38.0,17h,Good,14.0,18/11/2018 18:00,1542560702
Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,68.0,17h,Good,14.0,18h,Good,8.0,18/11/2018 18:00,1542560702
Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,61.0,17h,Good,9.0,17h,Good,9.0,18/11/2018 18:00,1542560702
Barcelona - Observ Fabra,Good,2.1239,41.4183,17h,Good,80.0,17h,Good,8.0,17h,Good,7.0,18/11/2018 18:00,1542560702
Barcelona - Eixample,Good,2.1538,41.3853,18h,Good,49.0,18h,Good,37.0,18h,Good,14.0,18/11/2018 19:00,1542564301
Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,51.0,18h,Good,28.0,18h,Good,8.0,18/11/2018 19:00,1542564301
Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,53.0,18h,Good,16.0,18h,Good,9.0,18/11/2018 19:00,1542564301
Barcelona - Observ Fabra,Good,2.1239,41.4183,18h,Good,72.0,18h,Good,13.0,18h,Good,7.0,18/11/2018 19:00,1542564301
Barcelona - Eixample,Good,2.1538,41.3853,19h,Good,46.0,19h,Good,43.0,19h,Good,13.0,18/11/2018 20:00,1542567902
Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,38.0,19h,Good,39.0,19h,Good,8.0,18/11/2018 20:00,1542567902
Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,46.0,19h,Good,22.0,19h,Good,9.0,18/11/2018 20:00,1542567902
Barcelona - Observ Fabra,Good,2.1239,41.4183,19h,Good,68.0,19h,Good,16.0,19h,Good,6.0,18/11/2018 20:00,1542567902
Barcelona - Eixample,Good,2.1538,41.3853,20h,Good,53.0,20h,Good,32.0,20h,Good,14.0,18/11/2018 21:00,1542571502
Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,69.0,20h,Good,13.0,20h,Good,8.0,18/11/2018 21:00,1542571502
Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,59.0,20h,Good,11.0,20h,Good,9.0,18/11/2018 21:00,1542571502
Barcelona - Observ Fabra,Good,2.1239,41.4183,20h,Good,78.0,20h,Good,7.0,20h,Good,6.0,18/11/2018 21:00,1542571502
Barcelona - Eixample,Good,2.1538,41.3853,21h,Good,56.0,21h,Good,30.0,21h,Good,14.0,18/11/2018 22:00,1542575101
Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,70.0,21h,Good,13.0,21h,Good,8.0,18/11/2018 22:00,1542575101
Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,60.0,21h,Good,11.0,21h,Good,9.0,18/11/2018 22:00,1542575101
Barcelona - Observ Fabra,Good,2.1239,41.4183,21h,Good,76.0,21h,Good,10.0,21h,Good,6.0,18/11/2018 22:00,1542575101
Barcelona - Eixample,Good,2.1538,41.3853,22h,Good,60.0,22h,Good,24.0,22h,Good,14.0,18/11/2018 23:00,1542578702
Barcelona - Vall Hebron,Good,2.148,41.4261,22h,Good,73.0,22h,Good,10.0,22h,Good,8.0,18/11/2018 23:00,1542578702
Barcelona - Palau Reial,Good,2.1151,41.3875,22h,Good,61.0,22h,Good,9.0,22h,Good,10.0,18/11/2018 23:00,1542578702
Barcelona - Observ Fabra,Good,2.1239,41.4183,22h,Good,80.0,22h,Good,6.0,22h,Good,7.0,18/11/2018 23:00,1542578702
Barcelona - Eixample,Good,2.1538,41.3853,23h,Good,61.0,23h,Good,19.0,23h,Good,15.0,19/11/2018 0:00,1542582302
Barcelona - Vall Hebron,Good,2.148,41.4261,23h,Good,72.0,23h,Good,9.0,23h,Good,8.0,19/11/2018 0:00,1542582302
Barcelona - Palau Reial,Good,2.1151,41.3875,23h,Good,63.0,23h,Good,6.0,23h,Good,10.0,19/11/2018 0:00,1542582302
Barcelona - Observ Fabra,Good,2.1239,41.4183,23h,Good,79.0,23h,Good,6.0,23h,Good,7.0,19/11/2018 0:00,1542582302
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,56.0,0h,Good,22.0,0h,Good,15.0,19/11/2018 1:00,1542585901
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,51.0,0h,Good,19.0,0h,Good,9.0,19/11/2018 1:00,1542585901
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,57.0,0h,Good,9.0,0h,Good,11.0,19/11/2018 1:00,1542585901
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,70.0,0h,Good,9.0,0h,Good,8.0,19/11/2018 1:00,1542585901
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,56.0,0h,Good,22.0,1h,Good,15.0,19/11/2018 2:00,1542589502
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,54.0,1h,Good,15.0,1h,Good,9.0,19/11/2018 2:00,1542589502
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,53.0,1h,Good,8.0,1h,Good,11.0,19/11/2018 2:00,1542589502
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,71.0,1h,Good,7.0,1h,Good,8.0,19/11/2018 2:00,1542589502
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,56.0,0h,Good,22.0,2h,Good,16.0,19/11/2018 3:00,1542593102
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,57.0,2h,Good,12.0,2h,Good,9.0,19/11/2018 3:00,1542593102
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,53.0,2h,Good,7.0,2h,Good,11.0,19/11/2018 3:00,1542593102
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,73.0,2h,Good,6.0,2h,Good,8.0,19/11/2018 3:00,1542593102
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,58.0,3h,Good,11.0,3h,Good,9.0,19/11/2018 4:00,1542596702
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,54.0,3h,Good,6.0,3h,Good,12.0,19/11/2018 4:00,1542596702
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,73.0,3h,Good,6.0,3h,Good,8.0,19/11/2018 4:00,1542596702
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,57.0,4h,Good,12.0,4h,Good,10.0,19/11/2018 5:00,1542600302
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,54.0,4h,Good,7.0,4h,Good,12.0,19/11/2018 5:00,1542600302
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,74.0,4h,Good,6.0,4h,Good,9.0,19/11/2018 5:00,1542600302
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,63.0,5h,Good,8.0,5h,Good,10.0,19/11/2018 6:00,1542603901
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,58.0,5h,Good,4.0,5h,Good,12.0,19/11/2018 6:00,1542603901
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,75.0,5h,Good,5.0,5h,Good,9.0,19/11/2018 6:00,1542603901
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,57.0,6h,Good,15.0,6h,Good,10.0,19/11/2018 7:00,1542607502
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,57.0,6h,Good,6.0,6h,Good,13.0,19/11/2018 7:00,1542607502
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,75.0,6h,Good,7.0,6h,Good,9.0,19/11/2018 7:00,1542607502
Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,41.0,7h,Good,36.0,7h,Good,17.0,19/11/2018 8:00,1542611102
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,49.0,7h,Good,24.0,7h,Good,10.0,19/11/2018 8:00,1542611102
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,50.0,7h,Good,14.0,7h,Good,13.0,19/11/2018 8:00,1542611102
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,74.0,7h,Good,7.0,7h,Good,10.0,19/11/2018 8:00,1542611102
Barcelona - Eixample,Good,2.1538,41.3853,8h,Good,20.0,8h,Good,67.0,8h,Good,18.0,19/11/2018 9:00,1542614701
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,37.0,8h,Good,43.0,8h,Good,11.0,19/11/2018 9:00,1542614701
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,39.0,8h,Good,29.0,8h,Good,14.0,19/11/2018 9:00,1542614701
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,73.0,8h,Good,10.0,8h,Good,10.0,19/11/2018 9:00,1542614701
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,12.0,9h,Good,77.0,9h,Good,19.0,19/11/2018 10:00,1542618302
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,35.0,9h,Good,43.0,9h,Good,11.0,19/11/2018 10:00,1542618302
